product_name,product_price,product_link,product_technical_info
iPhone 14 Pro Max 128GB | Chính hãng VN/A,N/A,https://cellphones.com.vn/iphone-14-pro-max.html,N/A
iPhone 16 128GB | Chính hãng VN/A,200.000đ,https://cellphones.com.vn/iphone-16.html,"Kích thước màn hình, 6.1 inches, Công nghệ màn hình, Super Retina XDR OLED, Camera sau, Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao, Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x Độ thu phóng kỹ thu, Camera trước, 12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels, Chipset, Apple A18, Công nghệ NFC, Có, Dung lượng RAM, 8 GB, Bộ nhớ trong, 128 GB, Thẻ SIM, Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim, Hệ điều hành, iOS 18, Độ phân giải màn hình, 2556 x 1179 pixels, Tính năng màn hình, Dynamic Island, Màn hình HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng tối đa 1000 nit, 460 ppi, Lớp phủ kháng dầu chống in dấu vân tay, Hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự, Loại CPU, CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện"
iPhone 14 128GB  | Chính hãng VN/A,200.000đ,https://cellphones.com.vn/iphone-14.html,"Kích thước màn hình, 6.1 inches, Công nghệ màn hình, OLED, Camera sau, Camera góc rộng: 12MP, ƒ/1.5, Camera góc siêu rộng: 12MP, ƒ/2.4, Camera trước, 12MP, ƒ/1.9, Chipset, Apple A15 Bionic 6 nhân, Công nghệ NFC, Có, Dung lượng RAM, 6 GB, Bộ nhớ trong, 128 GB, Pin, 3,279mAh, Thẻ SIM, 2 SIM (nano‑SIM và eSIM), Hệ điều hành, iOS 16, Độ phân giải màn hình, 2532 x 1170 pixels, Tính năng màn hình, Tần số quét 60Hz, 1200 nits, Kính cường lực Ceramic Shield, Super Retina XDR, Loại CPU, 3.22 GHz"
iPhone 16 Pro Max 512GB | Chính hãng VN/A,1.080.000đ,https://cellphones.com.vn/iphone-16-pro-max-512gb.html,"Kích thước màn hình, 6.9 inches, Công nghệ màn hình, Super Retina XDR OLED, Camera sau, Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%, Telephoto 2x 12MP: 52 mm, ƒ/1.6, Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải, Camera trước, 12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels, Chipset, Apple A18 Pro, Công nghệ NFC, Có, Bộ nhớ trong, 512 GB, Thẻ SIM, Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim, Hệ điều hành, iOS 18, Độ phân giải màn hình, 2868 x 1320 pixels, Tính năng màn hình, Dynamic Island, Màn hình Luôn Bật, Công nghệ ProMotion với tốc độ làm mới thích ứng lên đến 120Hz, Màn hình HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Loại CPU, CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất, Tương thích, Tương Thích Với Thiết Bị Trợ Thính"
iPhone 15 Plus 128GB | Chính hãng VN/A,N/A,https://cellphones.com.vn/iphone-15-plus.html,N/A
iPhone 13 128GB | Chính hãng VN/A,200.000đ,https://cellphones.com.vn/iphone-13.html,"Kích thước màn hình, 6.1 inches, Công nghệ màn hình, Super Retina XDR OLED, Camera sau, Camera góc rộng: 12MP, f/1.6, Camera góc siêu rộng: 12MP, ƒ/2.4, Camera trước, 12MP, f/2.2, Chipset, Apple A15, Công nghệ NFC, Có, Dung lượng RAM, 4 GB, Bộ nhớ trong, 128 GB, Pin, 3240mAh, Thẻ SIM, 2 SIM (nano‑SIM và eSIM), Hệ điều hành, iOS 15, Độ phân giải màn hình, 2532 x 1170 pixels, Tính năng màn hình, Màn hình super Retina XDR, OLED, 460 ppi, HDR display, công nghệ True Tone Wide color (P3), Haptic Touch, Lớp phủ oleophobic chống bám vân tay, Loại CPU, 3.22 GHz"
iPhone 15 256GB | Chính hãng VN/A,200.000đ,https://cellphones.com.vn/iphone-15-256gb.html,"Kích thước màn hình, 6.1 inches, Công nghệ màn hình, Super Retina XDR OLED, Camera sau, Chính 48 MP & Phụ 12 MP, Camera trước, 12MP, ƒ/1.9, Chipset, Apple A16 Bionic 6 nhân, Công nghệ NFC, Có, Dung lượng RAM, 6 GB, Bộ nhớ trong, 256 GB, Pin, 3349 mAh, Thẻ SIM, 2 SIM (nano‑SIM và eSIM), Hệ điều hành, iOS 17, Độ phân giải màn hình, 2556 x 1179 pixels, Tính năng màn hình, Dynamic Island, HDR display, True Tone, Wide color (P3), Haptic Touch, Lớp phủ oleophobia chống dấu vân tay, Độ sáng tối đa: 2000 nits, Mặt kính cảm ứng: Kính cường lực Ceramic Shield, Tần số quét 60 Hz, Loại CPU, CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện"
iPhone 17 Pro 512GB | Chính hãng,489.000đ,https://cellphones.com.vn/iphone-17-pro-512gb.html,"Kích thước màn hình, 6.3 inches, Công nghệ màn hình, Super Retina XDR, Camera sau, Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MP, Góc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°, Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x, Camera trước, Camera 18MP Center Stage Khẩu độ ƒ/1.9, Chipset, Chip A19 Pro, Công nghệ NFC, Có, Bộ nhớ trong, 512 GB, Thẻ SIM, Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim, Hệ điều hành, iOS 26, Độ phân giải màn hình, 2622 x 1206 pixels, Tính năng màn hình, Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn, Loại CPU, CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện"
iPhone 16 Plus 128GB | Chính hãng VN/A,200.000đ,https://cellphones.com.vn/iphone-16-plus.html,"Kích thước màn hình, 6.7 inches, Công nghệ màn hình, Super Retina XDR OLED, Camera sau, Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao, Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x Độ thu phóng kỹ thu, Camera trước, 12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels, Chipset, Apple A18, Công nghệ NFC, Có, Dung lượng RAM, 8 GB, Bộ nhớ trong, 128 GB, Thẻ SIM, Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim, Hệ điều hành, iOS 18, Độ phân giải màn hình, 2796 x 1290-pixel, Tính năng màn hình, Dynamic Island, Màn hình HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng tối đa 1000 nit, 460 ppi, Lớp phủ kháng dầu chống in dấu vân tay, Hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự, Loại CPU, CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện"
iPhone 16 Pro 256GB | Chính hãng VN/A,N/A,https://cellphones.com.vn/iphone-16-pro-256gb.html,N/A
